epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2146.2,0.94173,1.20155,1.30953,0.48681,0.35411,0.35365,0.25497,1.2784,2.58962,1.48847,0.133695,0.000333193,0.000333193
2,4179.9,0.8209,0.97323,1.21925,0.63715,0.58022,0.60338,0.47702,0.81464,1.09708,1.12544,0.0673602,0.000665499,0.000665499
3,6191.76,0.79571,0.93418,1.20077,0.73491,0.59963,0.66477,0.53724,0.81421,1.0184,1.11999,0.00102175,0.000993705,0.000993705
4,8188.52,0.78301,0.91761,1.19264,0.73861,0.60574,0.69239,0.56863,0.75398,0.9418,1.07711,0.000986186,0.000986186,0.000986186
5,10166.6,0.77395,0.90181,1.18562,0.7694,0.63202,0.69765,0.57614,0.74176,0.93934,1.06981,0.000975531,0.000975531,0.000975531
6,12145.7,0.76244,0.88803,1.17823,0.7486,0.65257,0.70367,0.57782,0.7591,0.93277,1.08276,0.000961944,0.000961944,0.000961944
7,14122.5,0.76011,0.88295,1.17625,0.7792,0.63818,0.71064,0.58934,0.74172,0.92969,1.06768,0.000945509,0.000945509,0.000945509
8,16100.3,0.75653,0.87436,1.1742,0.79889,0.64019,0.71819,0.5972,0.72398,0.89701,1.05404,0.000926327,0.000926327,0.000926327
9,18079.5,0.75251,0.86594,1.16902,0.79202,0.64477,0.71698,0.59737,0.72774,0.90169,1.05823,0.000904518,0.000904518,0.000904518
10,20054.1,0.74512,0.85879,1.16656,0.77617,0.66503,0.71934,0.59783,0.72314,0.89524,1.05471,0.000880215,0.000880215,0.000880215
11,22024.2,0.73755,0.85043,1.15921,0.77697,0.66728,0.72411,0.60457,0.70675,0.87456,1.03829,0.000853568,0.000853568,0.000853568
12,23994.4,0.73712,0.84686,1.15786,0.77506,0.67281,0.72816,0.60944,0.69635,0.86737,1.02732,0.000824742,0.000824742,0.000824742
13,25964.1,0.73455,0.842,1.15713,0.79412,0.65702,0.72993,0.61075,0.70305,0.86133,1.03504,0.000793913,0.000793913,0.000793913
14,27933.7,0.73188,0.83655,1.15489,0.79576,0.65893,0.73015,0.61196,0.70194,0.86408,1.03712,0.000761273,0.000761273,0.000761273
15,29903.6,0.72727,0.82905,1.15037,0.80281,0.65806,0.73269,0.61562,0.69844,0.85861,1.03048,0.000727023,0.000727023,0.000727023
16,31874.3,0.72377,0.82398,1.15015,0.7977,0.65755,0.73072,0.61556,0.6875,0.84995,1.0255,0.000691373,0.000691373,0.000691373
17,33844.6,0.71942,0.81972,1.14471,0.81209,0.64649,0.73307,0.61677,0.68197,0.84539,1.01634,0.000654543,0.000654543,0.000654543
18,35815.1,0.71501,0.80972,1.14237,0.78058,0.67153,0.73162,0.61757,0.67914,0.84498,1.01488,0.000616761,0.000616761,0.000616761
19,37785.1,0.71132,0.81047,1.14068,0.80566,0.66209,0.73243,0.61844,0.68063,0.84554,1.01833,0.000578259,0.000578259,0.000578259
20,39754.4,0.71153,0.80682,1.14095,0.76768,0.68198,0.73248,0.61869,0.68218,0.84434,1.01944,0.000539276,0.000539276,0.000539276
21,41723.2,0.70518,0.79753,1.13531,0.81038,0.6528,0.7319,0.61688,0.68312,0.84211,1.02035,0.00050005,0.00050005,0.00050005
22,43691.4,0.7045,0.79465,1.13633,0.795,0.66151,0.73323,0.61831,0.68055,0.84,1.01871,0.000460824,0.000460824,0.000460824
23,45661.4,0.69897,0.78853,1.13278,0.79349,0.66722,0.7321,0.61816,0.6774,0.8409,1.01647,0.000421841,0.000421841,0.000421841
24,47630.9,0.69865,0.78382,1.13114,0.80448,0.6616,0.7317,0.6182,0.67733,0.84273,1.01662,0.000383339,0.000383339,0.000383339
